GICS industry group,avg_pe_ratio
Household & Personal Products,3.5
"Food, Beverage & Tobacco",13.249556557142858
Consumer Durables & Apparel,13.701250888888888
Not Applic,17.61534681147541
Technology Hardware & Equipment,19.03137089090909
Insurance,19.937395454545456
Banks,20.020813666666665
Automobiles & Components,20.935468285714286
Financial Services,21.278423670000002
Real Estate Management & Development,21.9975270125
Energy,22.711577281290324
Equity Real Estate Investment Trusts (REITs),23.022425418918917
Media & Entertainment,25.771026396363638
Consumer Discretionary Distribution & Retail,26.837664518181818
Consumer Staples Distribution & Retail,27.742498599999998
Capital Goods,28.266876681818182
Commercial & Professional Services,31.74839211666667
"Pharmaceuticals, Biotechnology & Life Sciences",33.90127862747059
Transportation,37.86534453157895
Materials,45.80556720939143
Health Care Equipment & Services,46.86011201612904
Class Pend,48.393265
Consumer Services,48.53880165151515
Utilities,54.10045407916667
Software & Services,56.32306213513513
Telecommunication Services,180.25255757142855
