industry,avg_pe,median_pe,n_pe,avg_market_cap,median_market_cap,n_market_cap,avg_eps,median_eps,n_eps,avg_price_to_book,median_price_to_book,n_price_to_book,avg_dividend_yield,median_dividend_yield,n_dividend_yield
Automobiles & Components,20.365293157142855,11.173184,7,508787324.3,61954720.0,10,0.24,0.01,10,0.9576877750000001,0.895595175,10,3.138,3.45,5
Banks,20.380538041666668,19.45917,12,54980874355.5,4044622976.0,12,1.1291666666666667,0.22,12,1.2622549291666667,0.9795273250000001,12,5.071,4.665,10
Capital Goods,30.32455403703704,20.3569975,54,1213636847.2837837,186789208.0,74,0.11438356164383562,0.03,73,3.723105987135135,2.1637858,74,3.1151219512195123,2.65,41
Class Pend,52.792652,52.792652,1,689353640.0,501456640.0,3,-0.08747241666666668,-0.0105,6,-99.05241415166667,0.254524745,6,3.82,3.82,1
Commercial & Professional Services,29.273872792592595,17.5,27,1825114024.5555556,39993464.0,45,0.11954545454545457,0.0,44,4.342568298181818,2.2853291000000002,44,4.534666666666666,3.1,15
Consumer Discretionary Distribution & Retail,27.039673235294117,21.369231,34,3754124039.105263,349655744.0,38,0.3576315789473684,0.10500000000000001,38,4.439263540270271,2.3361344,37,4.701923076923077,3.9699999999999998,26
Consumer Durables & Apparel,14.135740555555556,14.5,9,361740499.8666667,61149268.0,15,0.125,0.025,14,0.5848123749999999,1.43303615,14,7.268571428571428,7.43,7
Consumer Services,45.30733489142857,22.998545,35,1974605084.0232558,215651856.0,43,0.2671428571428572,0.035,42,3.889245753023256,1.8348625,43,4.026521739130435,2.63,23
Consumer Staples Distribution & Retail,26.174415999999997,26.296295,5,12699259824.666666,5111972608.0,6,0.37833333333333335,0.25,6,3.1919418166666667,1.9459372,6,4.066000000000001,3.94,5
Energy,22.05837749677419,10.352987,31,990086767.4918033,32528788.0,122,0.008264462809917354,-0.0,121,1.9432163353913043,1.328125,115,20.23428571428571,8.545,14
Equity Real Estate Investment Trusts (REITs),23.56267634054054,15.518518,37,4922174416.102564,1710688256.0,39,0.18846153846153846,0.17,39,6.200320761025641,0.9436524,39,5.953783783783783,5.66,37
Financial Services,21.470954234210527,13.459170499999999,76,2454091139.9375,118170548.0,96,0.3764804210526316,0.04,95,2.5897628993548385,1.4205301,93,6.85811320754717,4.73,53
"Food, Beverage & Tobacco",15.038472254545455,13.019512500000001,22,572459881.0,64271292.0,37,0.025625405405405404,-0.0,37,1.4185953165789473,1.0662628500000002,38,3.761677777777778,3.82,9
Health Care Equipment & Services,46.10078356551724,24.452555,29,2427579911.308642,71340480.0,81,0.08630390243902439,-0.01,82,4.57156398125,2.2750000000000004,80,2.566666666666667,2.285,18
Household & Personal Products,3.772222233333333,3.9166667,3,30422606.272727273,14501071.0,11,-0.011818181818181818,0.0,11,-1.2100578172727277,0.4635108,11,1.48,1.48,1
Insurance,20.077712181818182,17.466665,11,8818095437.09091,3561745920.0,11,0.6136363636363636,0.3,11,2.4626471090909092,2.1052995,11,5.39,4.494999999999999,10
Materials,48.2485868337958,13.333333,143,1542163342.4635417,33379049.0,768,-0.06015879265091863,-0.01,762,3.8341922308759577,1.9333332,757,5.758823529411765,2.86,51
Media & Entertainment,27.648420441818185,20.144232000000002,22,1783688547.1162791,55877280.0,43,0.19119047619047622,-0.0,42,2.442882717857143,1.66760175,42,9.240625,4.26,16
Not Applic,17.934893362295085,12.058824,61,20855595703185.113,210490432.0,79,0.16875,0.11,72,1.0553581418644067,0.9664132,59,7.15796875,5.255,64
"Pharmaceuticals, Biotechnology & Life Sciences",37.8696463704375,17.510964,16,1247146482.7951808,49894812.0,83,0.04674698795180722,-0.02,83,3.3556843016455695,3.1,79,3.3620000000000005,2.64,5
Real Estate Management & Development,22.836030712499998,15.6818175,16,643154136.3043479,202624992.0,23,0.018095238095238095,0.05,21,1.4103634833636365,0.96174863,22,3.3199999999999994,3.36,10
Semiconductors & Semiconductor Equipment,,,0,292188499.5,58363639.0,4,-0.0875,-0.075,4,5.465936575,4.0757575,4,,,0
Software & Services,55.93016621538462,28.0,39,863769674.1203704,48306572.0,108,0.03380952380952381,-0.01,105,-0.6759103461553398,3.4000003,103,4.515384615384615,2.48,13
Technology Hardware & Equipment,19.22669847272727,11.950001,11,373871598.56,27723962.0,25,-0.05360000000000001,-0.01,25,9.996446574166667,1.6400000000000001,24,4.885,4.165,4
Telecommunication Services,185.5584257142857,25.526316,7,5875705715.923077,1312520448.0,13,0.025384615384615387,-0.0,13,4.00696623,2.8048754,13,5.756666666666667,5.23,6
Transportation,37.67827609473684,16.09524,19,4451505342.166667,475924608.0,24,0.14958333333333335,0.06,24,2.1116735616666666,1.2839678499999998,24,3.919411764705882,4.31,17
Utilities,50.28256796416667,23.4305555,12,3690147482.631579,111898224.0,19,0.0605,-0.0,20,1.73337427,1.89985045,20,4.653333333333332,5.3,9
